trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,0,-53.85527144915161,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",30,19,-15.250795728965864,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",30,24,10.174373921816358,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-50.82298753836159,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,13,0.02010524121565349,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,2,-118.84974222190712,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 2}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-16.23754086392809,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,4,-122.67544109550812,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 3}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-124.86550788940923,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,16,-15.557330990290572,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-28.757605854041387,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-35.08802470600052,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-43.00093797189575,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,2,-120.51299200410087,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 2}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",30,19,-0.8621482837333356,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",35,0,-66.34320709041623,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,1,-74.65663593103696,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,10,-43.102093656951844,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,11,-15.554752066599418,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,0,-121.53493049676649,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,6,-74.73702135754468,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,0,-136.0077856137459,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,0,-29.14172842258493,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-47.920663145236134,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,15,18.443697841976103,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,0,-95.70382770992822,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,0,-112.85950723206813,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
